"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
264,344355,"2018-07-26",120,15,30,25.2,0,300,"120","<15","30","25,2","","<300","B950","gruen",1,1
265,344360,"2018-08-01",200,15,15,26.9,0,300,"200","<15","<15","26,9","","<300","B334","gruen",1,1
266,344350,"2018-08-01",160,15,15,26.7,0,300,"160","<15","<15","26,7","","<300","B332","gruen",1,1
267,344362,"2018-08-01",230,15,15,26.7,0,300,"230","<15","<15","26,7","","<300","B333","gruen",1,1
268,344359,"2018-08-01",100,15,15,26.8,0,300,"100","<15","<15","26,8","","<300","B330","gruen",1,1
269,344335,"2018-08-02",80,15,15,26.2,0,300,"80","<15","15","26,2","","<300","B925","gruen",1,1
270,344351,"2018-08-01",130,15,15,26.9,0,300,"130","<15","<15","26,9","","<300","B329","gruen",1,1
271,344358,"2018-08-01",180,15,15,26.6,0,300,"180","<15","<15","26,6","","<300","B331","gruen",1,1
272,347246,"2018-08-03",160,15,15,27.2,0,300,"160","15","15","27,2","","<300","B911","gruen",1,1
273,344357,"2018-08-01",210,15,15,26.6,0,300,"210","<15","<15","26,6","","<300","B336","gruen",1,1
274,344341,"2018-08-02",100,15,15,26.3,0,300,"100","<15","15","26,3","","<300","B302","gruen",1,1
275,344343,"2018-08-02",200,15,15,26.1,0,300,"200","15","<15","26,1","","<300","B309","gruen",1,1
276,344348,"2018-08-02",110,15,15,26.3,0,300,"110","<15","<15","26,3","","<300","B311","gruen",1,1
277,344344,"2018-08-02",200,46,15,26.1,0,300,"200","46","<15","26,1","","<300","B314","gruen",1,1
278,344361,"2018-08-01",200,15,15,26.6,0,300,"200","<15","<15","26,6","","<300","B350","gruen",1,1
279,344318,"2018-08-03",70,197,15,27.3,0,360,"70","197","15","27,3","","360","B910","gruen",1,1
280,344320,"2018-08-06",40,15,15,26.7,,1400,"40","<15","<15","26,7","A","1400","B225","gruen_a",1,1
281,344321,"2018-08-06",80,15,30,25.5,0,300,"80","<15","30","25,5","","<300","B105","gruen",1,1
282,344322,"2018-08-06",60,15,15,25.6,,2000,"60","<15","15","25,6","A","2000","B118","gruen_a",1,1
283,344323,"2018-08-06",60,15,15,27.4,,1500,"60","<15","15","27,4","A","1500","B230","gruen_a",1,1
284,344326,"2018-08-06",50,15,15,26.9,,4300,"50","<15","15","26,9","A","4300","B224","gruen_a",1,1
285,344325,"2018-08-06",50,15,15,26.7,,2300,"50","<15","<15","26,7","A","2300","B226","gruen_a",1,1
286,344328,"2018-08-06",100,15,15,26.1,0,300,"100","<15","<15","26,1","","<300","B112","gruen",1,1
287,344329,"2018-08-06",60,15,30,25.6,,360,"60","<15","30","25,6","A","360","B116","gruen_a",1,1
288,344331,"2018-08-06",30,15,46,26.4,,300,"30","15","46","26,4","A","<300","B215","gelb_a",3,3
289,344332,"2018-08-06",60,15,15,25.9,,2900,"60","<15","<15","25,9","A","2900","B220","gruen_a",1,1
290,344333,"2018-08-06",40,15,46,26.9,,2300,"40","<15","46","26,9","A","2300","B227","gruen_a",1,1
291,344334,"2018-08-07",110,15,15,26.6,0,300,"110","15","<15","26,6","","<300","B920","gruen",1,1
292,344352,"2018-08-07",50,15,15,26.3,,300,"50","15","15","26,3","A","<300","B922","gruen_a",1,1
293,344336,"2018-08-07",100,15,15,26.5,0,300,"100","15","<15","26,5","","<300","B926","gruen",1,1
294,344353,"2018-08-07",80,179,15,26.3,,300,"80","179","<15","26,3","A","<300","B915","gruen_a",1,1
295,344350,"2018-08-09",160,30,15,27.9,0,300,"160","30","15","27,9","","<300","B332","gruen",1,1
296,344337,"2018-08-08",80,15,15,26.1,0,910,"80","<15","<15","26,1","","910","B304","gruen",1,1
297,344340,"2018-08-09",300,30,30,27.2,0,300,">300","30","30","27,2","","<300","B961","gruen",1,1
298,344338,"2018-08-09",320,15,15,27.2,0,300,">320","<15","<15","27,2","","<300","B962","gruen",1,1
299,344359,"2018-08-09",160,15,15,25.9,0,300,"160","<15","<15","25,9","","<300","B330","gruen",1,1
300,344351,"2018-08-09",60,77,15,27.3,0,300,"60","77","<15","27,3","","<300","B329","gruen",1,1
301,344358,"2018-08-09",80,46,15,25.4,0,300,">80","46","<15","25,4","","<300","B331","gruen",1,1
302,344345,"2018-08-08",150,110,15,25.5,0,360,"150","110","15","25,5","","360","B312","gruen",1,1
303,344349,"2018-08-08",150,213,30,25.5,0,360,">150","213","30","25,5","","360","B313","gruen",1,1
304,468922,"2018-08-10",110,15,15,25.1,0,300,"110","15","<15","25,1","","<300","B930","gruen",1,1
305,344355,"2018-08-10",180,15,15,25.1,0,2300,"180","15","<15","25,1","","2300","B950","gruen",1,1
306,344356,"2018-08-10",200,46,15,25.4,0,910,">200","46","15","25,4","","910","B955","gruen",1,1
307,344363,"2018-08-10",120,15,15,24.5,0,2300,"120","15","<15","24,5","","2300","B936","gruen",1,1
308,344360,"2018-08-14",120,15,15,23.7,0,300,"120","<15","<15","23,7","","<300","B334","gruen",1,1
309,344350,"2018-08-14",90,15,15,24.1,0,360,"90","<15","<15","24,1","","360","B332","gruen",1,1
310,344362,"2018-08-14",160,15,15,23.9,0,300,"160","<15","15","23,9","","<300","B333","gruen",1,1
311,344359,"2018-08-14",70,15,15,23.9,0,300,"70","15","<15","23,9","","<300","B330","gruen",1,1
312,344351,"2018-08-14",60,15,15,24.1,0,300,"60","<15","<15","24,1","","<300","B329","gruen",1,1
313,344358,"2018-08-14",70,15,15,24,0,300,"70","<15","<15","24","","<300","B331","gruen",1,1
314,344357,"2018-08-14",110,15,15,24,0,300,"110","<15","<15","24","","<300","B336","gruen",1,1
315,344361,"2018-08-14",220,15,15,23.8,0,300,"220","<15","<15","23,8","","<300","B350","gruen",1,1
316,344335,"2018-08-16",80,15,15,23,0,300,"80","<15","<15","23","","<300","B925","gruen",1,1
317,347246,"2018-08-17",210,61,46,24.5,0,300,"210","61","46","24,5","","<300","B911","gruen",1,1
318,344341,"2018-08-16",120,110,15,23.4,0,24000,"120","110","15","23,4","","24000","B302","gelb",3,3
